1,Table #1,"1706 Sheepshead Bay Rd, Brooklyn, NY",1,1,2022-06-04 8:09:01,2021-03-20 8:09:01
2,Table #2,"55 East 54th Street, Manhattan, NY",1,1,2022-05-17 10:32:50,2021-01-28 10:32:50
3,Table #3,"30 West 26th, Manhattan, NY",1,1,2022-04-04 6:11:34,2021-07-06 6:11:34
4,Table #4,"360 3rd Ave, Manhattan, NY",1,1,2022-10-07 10:02:22,2022-06-11 10:02:22
5,Table #5,"64 Lafayette AVe, Brooklyn, NY",1,1,2022-12-25 1:19:33,2021-08-04 1:19:33
6,Table #6,"579 Myrtle Avenue, Brooklyn, NY",1,1,2022-01-06 7:12:56,2022-12-17 7:12:56
7,Table #7,"247-77 Jamaica Avenue, Queens, NY",1,1,2022-09-06 3:33:39,2022-08-12 3:33:39
8,Table #8,"382-384 forest ave, Staten Island, NY",1,1,2022-01-05 22:31:04,2022-03-07 22:31:04
9,Table #9,"1045 flushing avenue, Brooklyn, NY",1,1,2022-10-13 15:34:27,2022-05-03 15:34:27
10,Table #10,"98-05 101 ave , Queens, NY",1,1,2021-06-22 15:02:47,2022-08-13 15:02:47
11,Table #11,"7517 -19 amboy roaf, Staten Island, NY",2,1,2021-01-24 16:14:05,2022-08-10 16:14:05
12,Table #12,"157 Duane St., Manhattan, NY",2,1,2021-09-21 13:23:03,2021-08-24 13:23:03
13,Table #13,"34-10 30th Ave, Queens, NY",2,1,2022-11-05 17:49:14,2022-03-11 17:49:14
14,Table #14,"517 Court Street, Brooklyn, NY",2,1,2021-02-13 19:33:42,2021-03-05 19:33:42
15,Table #15,"168 5th Avenue, Brooklyn, NY",2,1,2021-08-23 0:06:01,2021-12-24 0:06:01
16,Table #16,"51-53 Christopher, Manhattan, NY",2,1,2021-05-23 19:02:25,2022-03-05 19:02:25
17,Table #17,"133 Mulberry Street, Manhattan, NY",2,1,2022-07-07 14:35:13,2022-12-30 14:35:13
18,Table #18,"3501 Ditmara, Queens, NY",2,1,2022-01-06 12:37:03,2022-10-01 12:37:03
19,Table #19,"10018 4TH AVENUE, Brooklyn, NY",2,1,2022-02-01 1:08:52,2021-08-03 1:08:52
20,Table #20,"790 Grand Street, Brooklyn, NY",2,1,2021-06-29 13:10:02,2021-09-09 13:10:02
21,Table #21,"3401 30th ave, Queens, NY",2,1,2022-08-07 2:45:27,2021-02-18 2:45:27
22,Table #22,"103 Waverly Place, Manhattan, NY",2,1,2022-10-26 11:34:35,2021-10-01 11:34:35
23,Table #23,"7222 Main Street, Queens, NY",2,1,2021-07-14 17:04:24,2022-09-29 17:04:24
24,Table #24,"138 Smith Street, Brooklyn, NY",2,1,2022-10-28 19:43:39,2021-03-01 19:43:39
25,Table #25,"246 West 4th Street, Manhattan, NY",2,1,2022-12-29 23:33:22,2022-10-25 23:33:22
26,Table #26,"196 Elizabeth Street, Manhattan, NY",2,1,2021-05-03 6:30:34,2021-01-04 6:30:34
27,Table #27,"949 Columbus avenue, Manhattan, NY",2,1,2021-06-07 9:16:26,2022-12-17 9:16:26
28,Table #28,"70 West 36th , Manhattan, NY",2,1,2022-06-05 21:49:13,2022-09-08 21:49:13
29,Table #29,"507 Columbus Ave, Manhattan, NY",2,1,2022-04-21 21:59:27,2021-09-25 21:59:27
30,Table #30,"4701 111th Street, Queens, NY",2,1,2021-04-28 18:14:28,2021-07-21 18:14:28
31,Table #31,"336 State Street, Brooklyn, NY",3,1,2021-11-28 19:18:47,2021-12-29 19:18:47
32,Table #32,"36-20 ditmars blvd, Queens, NY",3,1,2021-10-10 14:24:11,2022-11-14 14:24:11
33,Table #33,"204 Grand street, Brooklyn, NY",3,1,2021-09-14 14:50:18,2021-08-09 14:50:18
34,Table #34,"446C Dean Street , Brooklyn, NY",3,1,2022-11-30 21:03:24,2022-06-21 21:03:24
35,Table #35,"168 Driggs ave, Brooklyn, NY",3,1,2022-05-09 7:01:56,2021-06-17 7:01:56
36,Table #36,"37B West 26th St., Manhattan, NY",3,1,2022-02-22 8:07:53,2022-08-07 8:07:53
37,Table #37,"1343 2nd Avenue , Manhattan, NY",3,1,2021-03-24 15:55:46,2021-02-08 15:55:46
38,Table #38,"7414 5th Ave, Brooklyn, NY",3,1,2021-04-17 6:06:23,2021-10-26 6:06:23
39,Table #39,"1118 Cortelyou Road, Brooklyn, NY",3,1,2022-02-28 15:43:48,2022-08-11 15:43:48
40,Table #40,"206 Spring st, Manhattan, NY",3,1,2022-09-28 4:18:50,2021-11-05 4:18:50
41,Table #41,"168 West 4th Street, Manhattan, NY",3,1,2021-05-19 16:57:22,2022-03-03 16:57:22
42,Table #42,"132 West 58th, Manhattan, NY",3,1,2021-05-11 22:38:17,2022-09-22 22:38:17
43,Table #43,"733 Fulton Street, Brooklyn, NY",3,1,2022-01-06 0:56:56,2021-11-25 0:56:56
44,Table #44,"947 Columbus avenue, Manhattan, NY",3,1,2022-07-24 2:38:41,2022-01-24 2:38:41
45,Table #45,"3401 30th ave, Queens, NY",3,1,2021-01-26 10:03:32,2022-07-03 10:03:32
46,Table #46,"1 John St, Brooklyn, NY",3,1,2022-07-19 22:38:20,2022-06-11 22:38:20
47,Table #47,"33-15 33-15 Ditmars Boulevard, Queens, NY",3,1,2021-01-15 21:18:48,2021-09-12 21:18:48
48,Table #48,"13 Doyers Street, Manhattan, NY",3,1,2021-10-04 8:57:49,2021-10-18 8:57:49
49,Table #49,"1372 Broadway, Manhattan, NY",3,1,2022-03-26 22:54:18,2021-06-21 22:54:18
50,Table #50,"129-131 MacDougal, Manhattan, NY",3,1,2021-07-29 21:19:15,2022-11-23 21:19:15
51,Table #51,"406 Prospect Place, Brooklyn, NY",3,1,2021-10-30 18:52:03,2021-01-13 18:52:03
52,Table #52,"43 East 7th St, Manhattan, NY",3,1,2021-10-23 16:30:57,2021-02-18 16:30:57
53,Table #53,"14 Bedford Avenue, Brooklyn, NY",3,1,2022-01-21 16:43:30,2022-06-01 16:43:30
54,Table #54,"558 BROADWAY, Manhattan, NY",3,1,2022-01-22 9:38:09,2021-05-18 9:38:09
55,Table #55,"917 Manor Road, Staten Island, NY",3,1,2022-10-19 16:21:52,2022-04-01 16:21:52
56,Table #56,"628 10th Avenue, Manhattan, NY",3,1,2021-09-02 14:18:42,2022-11-09 14:18:42
57,Table #57,"9402 4th Avenue , Brooklyn, NY",3,1,2021-03-27 8:56:48,2022-08-10 8:56:48
58,Table #58,"168 West 4th street, Manhattan, NY",3,1,2022-12-24 2:07:25,2021-06-25 2:07:25
59,Table #59,"1765 Crosby Avenue , Bronx, NY",3,1,2022-11-05 22:38:58,2021-12-10 22:38:58
60,Table #60,"136-138 West Fordham Rd , Bronx, NY",3,1,2021-02-01 22:17:33,2021-05-16 22:17:33
61,Table #61,"7205 Austin Street , Queens, NY",3,1,2022-08-13 3:20:53,2022-11-21 3:20:53
62,Table #62,"3401 30th ave, Queens, NY",3,1,2021-03-08 0:09:05,2022-07-28 0:09:05
63,Table #63,"511 Amsterdam Ave, Manhattan, NY",3,1,2022-09-20 8:39:02,2022-02-14 8:39:02
64,Table #64,"525 Grand st, Brooklyn, NY",3,1,2022-12-13 22:29:37,2021-06-28 22:29:37
65,Table #65,"40-02 Bell BLVD , Queens, NY",3,1,2021-11-27 6:36:19,2022-12-13 6:36:19
66,Table #66,"85 2nd AVENUE, Manhattan, NY",3,1,2022-05-14 21:21:31,2022-06-15 21:21:31
67,Table #67,"46 west 46th street, Manhattan, NY",3,1,2021-01-04 2:28:42,2021-11-09 2:28:42
68,Table #68,"6819 3rd Ave, Brooklyn, NY",3,1,2022-11-11 5:39:30,2022-02-14 5:39:30
69,Table #69,"577 Lorimer Street, Brooklyn, NY",3,1,2021-04-06 20:32:09,2021-03-11 20:32:09
70,Table #70,"29-10 Broadway, Queens, NY",3,1,2021-03-02 13:53:29,2022-06-27 13:53:29
71,Table #71,"654 Amsterdam Ave, Manhattan, NY",3,1,2022-10-12 11:45:32,2021-08-12 11:45:32
72,Table #72,"150 nassau street, Manhattan, NY",4,1,2021-10-05 16:47:24,2021-04-08 16:47:24
73,Table #73,"57 Murray Street , Manhattan, NY",4,1,2021-09-04 14:42:44,2022-08-03 14:42:44
